transferOrdNo,woNumber,time_taken_to_complete_order,workers_needed
TO4543,WO11382,358,8
TO4544,WO11383,173,7
TO4544,WO11384,244,9
TO4545,WO11385,300,9
TO4545,WO11386,78,5
TO4546,WO11387,48,4
TO4546,WO11388,261,7
TO4546,WO11389,44,6
TO4546,WO11390,80,9
TO4547,WO11391,113,10
TO4547,WO11392,97,1
TO4547,WO11393,357,4
TO4548,WO11394,75,9
TO4548,WO11395,231,6
TO4549,WO11396,146,1
TO4549,WO11397,136,3
TO4550,WO11398,313,7
TO4550,WO11399,185,3
TO4551,WO11400,270,1
TO4552,WO11401,197,1
TO4552,WO11402,133,1
TO4552,WO11403,323,3
TO4552,WO11404,360,7
TO4553,WO11405,71,7
TO4553,WO11406,184,10
TO4553,WO11407,94,2
TO4554,WO11408,183,6
TO4554,WO11409,211,4
TO4554,WO11410,35,3
TO4554,WO11411,192,9
TO4555,WO11412,239,10
TO4556,WO11413,282,10
TO4557,WO11414,267,10
TO4557,WO11415,210,2
TO4557,WO11416,325,9
TO4557,WO11417,157,7
TO4558,WO11418,135,7
TO4558,WO11419,169,1
TO4558,WO11420,300,3
TO4559,WO11421,231,7
TO4559,WO11422,123,5
TO4560,WO11423,274,8
TO4560,WO11424,72,6
TO4560,WO11425,146,1
TO4560,WO11426,133,5
TO4561,WO11427,89,9
TO4562,WO11428,182,5
TO4562,WO11429,247,1
TO4563,WO11430,302,10
TO4563,WO11431,359,7
TO4563,WO11432,213,6
TO4564,WO11433,347,3
TO4564,WO11434,191,6
TO4564,WO11435,112,1
TO4564,WO11436,163,4
TO4565,WO11437,339,6
TO4566,WO11438,131,6
TO4566,WO11439,258,7
TO4566,WO11440,180,3
TO4567,WO11441,119,2
TO4567,WO11442,164,7
TO4567,WO11443,219,2
TO4568,WO11444,126,7
TO4568,WO11445,324,3
TO4568,WO11446,167,2
TO4568,WO11447,237,4
TO4569,WO11448,97,1
TO4570,WO11449,135,7
TO4571,WO11450,200,7
TO4571,WO11451,180,5
TO4572,WO11452,64,8
TO4572,WO11453,117,9
TO4572,WO11454,126,2
TO4573,WO11455,263,3
TO4573,WO11456,114,5
TO4573,WO11457,94,6
TO4573,WO11458,85,5
TO4574,WO11459,340,1
TO4575,WO11460,305,2
TO4575,WO11461,281,9
TO4576,WO11462,55,7
TO4576,WO11463,124,3
TO4576,WO11464,279,10
TO4576,WO11465,335,10
TO4577,WO11466,238,6
TO4578,WO11467,246,8
TO4578,WO11468,191,3
TO4578,WO11469,307,5
TO4578,WO11470,317,3
TO4579,WO11471,84,8
TO4579,WO11472,132,1
TO4579,WO11473,309,2
TO4579,WO11474,358,2
TO4580,WO11475,356,2
TO4580,WO11476,36,1
TO4581,WO11477,141,6
TO4581,WO11478,325,1
TO4581,WO11479,353,6
TO4581,WO11480,304,2
TO4582,WO11481,123,1
TO4583,WO11482,132,4
TO4583,WO11483,329,4
TO4583,WO11484,206,8
TO4584,WO11485,71,3
TO4584,WO11486,358,9
TO4585,WO11487,156,6
TO4585,WO11488,144,10
TO4585,WO11489,142,4
TO4585,WO11490,185,9
TO4586,WO11491,82,1
TO4586,WO11492,344,7
TO4586,WO11493,342,8
TO4587,WO11494,262,7
TO4587,WO11495,189,10
TO4587,WO11496,320,3
TO4587,WO11497,113,2
TO4588,WO11498,131,9
TO4588,WO11499,245,6
TO4588,WO11500,76,1
TO4589,WO11501,336,6
TO4589,WO11502,165,1
TO4589,WO11503,254,5
TO4589,WO11504,68,8
TO4590,WO11505,281,3
TO4590,WO11506,339,10
TO4591,WO11507,74,10
TO4591,WO11508,270,2
TO4591,WO11509,247,5
TO4591,WO11510,132,7
TO4592,WO11511,66,6
TO4593,WO11512,207,7
TO4593,WO11513,81,8
TO4593,WO11514,212,3
TO4593,WO11515,250,8
TO4594,WO11516,285,5
TO4594,WO11517,143,8
TO4594,WO11518,180,8
TO4594,WO11519,133,5
TO4595,WO11520,107,2
TO4595,WO11521,339,4
TO4595,WO11522,88,7
TO4596,WO11523,71,1
TO4596,WO11524,116,7
TO4596,WO11525,70,2
TO4596,WO11526,208,6
TO4597,WO11527,357,6
TO4597,WO11528,332,7
TO4598,WO11529,176,7
TO4598,WO11530,194,10
TO4598,WO11531,261,7
TO4599,WO11532,86,5
TO4599,WO11533,344,1
TO4599,WO11534,189,6
TO4599,WO11535,309,3
TO4600,WO11536,318,9
TO4600,WO11537,56,3
TO4600,WO11538,296,5
TO4600,WO11539,175,1
TO4601,WO11540,322,4
TO4601,WO11541,227,8
TO4601,WO11542,198,8
TO4602,WO11543,157,8
TO4602,WO11544,348,5
TO4602,WO11545,50,5
TO4603,WO11546,159,10
TO4603,WO11547,126,5
TO4603,WO11548,354,9
TO4603,WO11549,118,3
TO4604,WO11550,101,6
TO4604,WO11551,133,2
TO4604,WO11552,343,8
TO4604,WO11553,256,8
TO4605,WO11554,300,1
TO4605,WO11555,306,3
TO4606,WO11556,234,4
TO4606,WO11557,169,4
TO4607,WO11558,280,4
TO4607,WO11559,64,10
TO4607,WO11560,81,3
TO4607,WO11561,193,9
TO4608,WO11562,318,4
TO4608,WO11563,62,1
TO4609,WO11564,151,10
TO4610,WO11565,134,2
TO4610,WO11566,75,4
TO4610,WO11567,35,10
TO4611,WO11568,35,8
TO4611,WO11569,92,3
TO4611,WO11570,168,4
TO4612,WO11571,81,8
TO4613,WO11572,261,7
TO4613,WO11573,160,3
TO4613,WO11574,60,9
TO4613,WO11575,134,10
TO4614,WO11576,247,2
TO4614,WO11577,241,9
TO4614,WO11578,100,6
TO4614,WO11579,251,10
TO4615,WO11580,266,4
TO4616,WO11581,81,8
TO4617,WO11582,264,7
TO4618,WO11583,278,9
TO4618,WO11584,34,5
TO4619,WO11585,313,6
TO4619,WO11586,272,2
TO4620,WO11587,137,5
TO4620,WO11588,360,9
TO4621,WO11589,262,8
TO4622,WO11590,207,10
TO4622,WO11591,114,2
TO4622,WO11592,255,4
TO4622,WO11593,356,10
TO4623,WO11594,71,8
TO4623,WO11595,212,5
TO4624,WO11596,195,9
TO4625,WO11597,131,5
TO4625,WO11598,208,5
TO4625,WO11599,302,4
TO4626,WO11600,331,1
TO4626,WO11601,50,4
TO4627,WO11602,180,4
TO4627,WO11603,126,1
TO4627,WO11604,359,9
TO4627,WO11605,178,3
TO4628,WO11606,154,10
TO4628,WO11607,258,4
TO4629,WO11608,69,4
TO4630,WO11609,335,1
TO4630,WO11610,210,3
TO4630,WO11611,94,7
TO4631,WO11612,51,10
TO4632,WO11613,297,6
TO4633,WO11614,104,4
TO4633,WO11615,155,4
TO4634,WO11616,355,1
TO4634,WO11617,221,9
TO4634,WO11618,118,5
TO4635,WO11619,308,1
TO4635,WO11620,294,10
TO4635,WO11621,228,2
TO4636,WO11622,190,9
TO4636,WO11623,210,3
TO4636,WO11624,253,1
TO4637,WO11625,309,1
TO4638,WO11626,356,10
TO4639,WO11627,61,9
TO4640,WO11628,308,7
TO4640,WO11629,259,2
TO4641,WO11630,141,2
TO4641,WO11631,175,4
TO4641,WO11632,302,6
TO4641,WO11633,143,1
TO4642,WO11634,343,3
TO4642,WO11635,71,2
TO4642,WO11636,351,3
TO4642,WO11637,59,2
TO4643,WO11638,306,4
TO4643,WO11639,273,4
TO4643,WO11640,192,8
TO4644,WO11641,80,10
TO4644,WO11642,33,5
TO4644,WO11643,337,2
TO4644,WO11644,283,1
TO4645,WO11645,62,5
TO4645,WO11646,359,5
TO4645,WO11647,297,9
TO4646,WO11648,198,8
TO4646,WO11649,151,9
TO4646,WO11650,239,6
TO4647,WO11651,355,1
TO4647,WO11652,116,10
TO4647,WO11653,85,10
TO4648,WO11654,99,10
TO4649,WO11655,146,3
TO4650,WO11656,293,3
TO4650,WO11657,170,8
TO4650,WO11658,135,9
TO4651,WO11659,163,4
TO4651,WO11660,343,10
TO4651,WO11661,303,6
TO4652,WO11662,189,6
TO4653,WO11663,128,8
TO4653,WO11664,212,4
TO4653,WO11665,306,7
TO4654,WO11666,264,9
TO4654,WO11667,282,8
TO4655,WO11668,272,2
TO4655,WO11669,313,10
TO4655,WO11670,126,9
TO4656,WO11671,326,10
TO4657,WO11672,177,1
TO4658,WO11673,70,4
TO4658,WO11674,192,2
TO4658,WO11675,101,2
TO4658,WO11676,269,4
TO4659,WO11677,223,1
TO4659,WO11678,246,6
TO4659,WO11679,37,6
TO4660,WO11680,328,3
TO4660,WO11681,284,7
TO4660,WO11682,225,1
TO4660,WO11683,275,4
TO4661,WO11684,177,4
TO4661,WO11685,334,4
TO4661,WO11686,352,4
TO4661,WO11687,139,4
TO4662,WO11688,99,4
TO4662,WO11689,47,7
TO4662,WO11690,108,9
TO4663,WO11691,94,10
TO4663,WO11692,108,7
TO4664,WO11693,339,7
TO4664,WO11694,53,8
TO4665,WO11695,251,6
TO4666,WO11696,241,3
TO4666,WO11697,251,8
TO4667,WO11698,73,10
TO4667,WO11699,205,10
TO4668,WO11700,103,5
TO4668,WO11701,339,3
TO4669,WO11702,203,8
TO4670,WO11703,68,4
TO4671,WO11704,221,8
TO4672,WO11705,218,6
TO4672,WO11706,198,9
TO4672,WO11707,48,5
TO4672,WO11708,278,3
TO4673,WO11709,351,9
TO4673,WO11710,153,1
TO4673,WO11711,348,8
TO4673,WO11712,198,6
TO4674,WO11713,228,7
TO4674,WO11714,261,3
TO4674,WO11715,119,3
TO4674,WO11716,298,5
TO4675,WO11717,356,1
TO4675,WO11718,233,8
TO4675,WO11719,294,2
TO4675,WO11720,298,5
TO4676,WO11721,193,1
TO4676,WO11722,99,4
TO4677,WO11723,287,2
TO4678,WO11724,173,7
TO4678,WO11725,58,10
TO4678,WO11726,185,1
TO4679,WO11727,279,10
TO4679,WO11728,226,3
TO4679,WO11729,212,9
TO4679,WO11730,37,2
TO4680,WO11731,141,9
TO4680,WO11732,348,4
TO4680,WO11733,72,7
TO4681,WO11734,282,6
TO4682,WO11735,72,9
TO4683,WO11736,173,4
TO4683,WO11737,203,4
TO4683,WO11738,81,2
TO4683,WO11739,249,5
TO4684,WO11740,277,10
TO4684,WO11741,123,3
TO4684,WO11742,62,7
TO4685,WO11743,279,6
TO4685,WO11744,197,4
TO4685,WO11745,183,1
TO4685,WO11746,248,6
TO4686,WO11747,272,8
TO4686,WO11748,219,5
TO4686,WO11749,181,6
TO4687,WO11750,301,10
TO4687,WO11751,47,8
TO4688,WO11752,100,7
TO4689,WO11753,348,3
TO4689,WO11754,253,6
TO4690,WO11755,174,3
TO4690,WO11756,251,10
TO4690,WO11757,119,9
TO4691,WO11758,148,4
TO4692,WO11759,93,8
TO4692,WO11760,121,2
TO4692,WO11761,331,10
TO4693,WO11762,100,3
TO4693,WO11763,171,6
TO4693,WO11764,162,6
TO4694,WO11765,251,8
TO4694,WO11766,71,3
TO4694,WO11767,360,3
TO4694,WO11768,104,10
TO4695,WO11769,46,2
TO4695,WO11770,127,5
TO4695,WO11771,236,6
TO4695,WO11772,237,7
TO4696,WO11773,300,10
TO4696,WO11774,250,1
TO4697,WO11775,298,1
TO4697,WO11776,161,3
TO4697,WO11777,39,4
TO4698,WO11778,173,4
TO4698,WO11779,328,10
TO4699,WO11780,115,8
TO4699,WO11781,276,5
TO4699,WO11782,75,5
TO4700,WO11783,60,10
TO4701,WO11784,156,2
TO4701,WO11785,73,10
TO4701,WO11786,353,7
TO4701,WO11787,222,1
TO4702,WO11788,176,1
TO4702,WO11789,272,1
TO4702,WO11790,214,8
TO4703,WO11791,79,10
TO4703,WO11792,297,4
TO4703,WO11793,306,4
TO4703,WO11794,262,9
TO4704,WO11795,306,2
TO4705,WO11796,224,6
TO4705,WO11797,286,10
TO4705,WO11798,116,10
TO4706,WO11799,80,2
TO4706,WO11800,328,9
TO4706,WO11801,164,1
TO4706,WO11802,47,3
TO4707,WO11803,238,1
TO4708,WO11804,39,1
TO4709,WO11805,108,10
TO4709,WO11806,351,1
TO4710,WO11807,105,9
TO4710,WO11808,120,10
TO4711,WO11809,163,2
TO4712,WO11810,325,3
TO4713,WO11811,232,7
TO4714,WO11812,128,7
TO4714,WO11813,140,10
TO4714,WO11814,163,7
TO4714,WO11815,284,9
TO4715,WO11816,228,1
TO4716,WO11817,338,1
TO4717,WO11818,318,4
TO4717,WO11819,203,1
TO4717,WO11820,46,3
TO4718,WO11821,346,10
TO4719,WO11822,207,7
TO4720,WO11823,263,8
TO4720,WO11824,111,2
TO4720,WO11825,330,10
TO4721,WO11826,318,9
TO4722,WO11827,307,4
TO4723,WO11828,305,5
TO4723,WO11829,204,5
TO4723,WO11830,45,4
TO4724,WO11831,311,10
TO4724,WO11832,283,10
TO4724,WO11833,308,8
TO4725,WO11834,249,4
TO4725,WO11835,179,7
TO4726,WO11836,63,2
TO4726,WO11837,205,3
TO4726,WO11838,302,1
TO4727,WO11839,192,10
TO4727,WO11840,55,4
TO4728,WO11841,305,8
TO4728,WO11842,349,9
TO4729,WO11843,326,8
TO4729,WO11844,120,4
TO4730,WO11845,207,5
TO4730,WO11846,197,10
TO4730,WO11847,266,4
TO4731,WO11848,81,3
TO4731,WO11849,276,7
TO4731,WO11850,60,2
TO4731,WO11851,277,3
TO4732,WO11852,326,6
TO4733,WO11853,150,9
TO4733,WO11854,112,6
TO4733,WO11855,353,7
TO4733,WO11856,46,4
TO4734,WO11857,132,6
TO4734,WO11858,225,6
TO4735,WO11859,71,9
TO4735,WO11860,211,10
TO4735,WO11861,167,8
TO4736,WO11862,181,2
TO4736,WO11863,112,2
TO4737,WO11864,189,6
TO4737,WO11865,270,6
TO4737,WO11866,279,8
TO4737,WO11867,93,9
TO4738,WO11868,263,10
TO4739,WO11869,69,1
TO4740,WO11870,192,2
TO4740,WO11871,83,8
TO4740,WO11872,359,1
TO4740,WO11873,326,4
TO4741,WO11874,109,6
TO4742,WO11875,199,5
TO4742,WO11876,349,9
TO4742,WO11877,133,4
TO4743,WO11878,257,5
TO4744,WO11879,188,5
TO4744,WO11880,136,4
TO4745,WO11881,232,10
TO4745,WO11882,201,5
TO4745,WO11883,221,2
TO4745,WO11884,282,7
TO4746,WO11885,218,7
TO4746,WO11886,48,4
TO4746,WO11887,213,5
TO4747,WO11888,66,2
TO4747,WO11889,198,1
TO4747,WO11890,181,2
TO4748,WO11891,67,2
TO4748,WO11892,130,10
TO4749,WO11893,124,6
TO4749,WO11894,98,4
TO4750,WO11895,117,3
TO4750,WO11896,333,3
TO4751,WO11897,117,2
TO4751,WO11898,111,2
TO4751,WO11899,163,2
TO4752,WO11900,91,2
TO4752,WO11901,132,8
TO4753,WO11902,340,7
TO4753,WO11903,227,5
TO4753,WO11904,40,10
TO4753,WO11905,39,3
TO4754,WO11906,80,7
TO4754,WO11907,308,7
TO4754,WO11908,53,8
TO4755,WO11909,225,3
TO4756,WO11910,84,5
TO4756,WO11911,290,9
TO4757,WO11912,64,10
TO4757,WO11913,161,5
TO4757,WO11914,173,9
TO4758,WO11915,34,4
TO4758,WO11916,211,3
TO4758,WO11917,159,5
TO4759,WO11918,196,4
TO4759,WO11919,328,5
TO4760,WO11920,289,4
TO4760,WO11921,306,3
TO4760,WO11922,336,9
TO4761,WO11923,331,4
TO4762,WO11924,197,8
TO4763,WO11925,202,8
TO4763,WO11926,68,3
TO4763,WO11927,139,10
TO4764,WO11928,125,4
TO4764,WO11929,199,5
TO4765,WO11930,241,3
TO4765,WO11931,89,8
TO4766,WO11932,79,7
TO4766,WO11933,136,10
TO4766,WO11934,138,8
TO4766,WO11935,200,1
TO4767,WO11936,327,5
TO4768,WO11937,143,2
TO4769,WO11938,45,6
TO4770,WO11939,290,3
TO4770,WO11940,161,9
TO4771,WO11941,95,5
TO4771,WO11942,289,2
TO4772,WO11943,158,4
TO4772,WO11944,291,4
TO4773,WO11945,275,7
TO4774,WO11946,177,10
TO4774,WO11947,30,6
TO4774,WO11948,69,10
TO4775,WO11949,90,7
TO4776,WO11950,264,6
TO4776,WO11951,319,9
TO4776,WO11952,283,9
TO4776,WO11953,236,5
TO4777,WO11954,360,10
TO4778,WO11955,41,10
TO4778,WO11956,215,8
TO4778,WO11957,167,1
TO4778,WO11958,119,4
TO4779,WO11959,92,6
TO4780,WO11960,103,7
TO4781,WO11961,69,7
TO4781,WO11962,282,1
TO4782,WO11963,96,1
TO4782,WO11964,218,4
TO4783,WO11965,102,1
TO4784,WO11966,175,6
TO4784,WO11967,321,4
TO4784,WO11968,233,7
TO4784,WO11969,310,5
TO4785,WO11970,169,5
TO4785,WO11971,267,5
TO4785,WO11972,123,3
TO4785,WO11973,253,6
TO4786,WO11974,251,8
TO4786,WO11975,210,1
TO4787,WO11976,306,10
TO4787,WO11977,290,3
TO4788,WO11978,298,1
TO4788,WO11979,208,5
TO4788,WO11980,207,6
TO4788,WO11981,225,8
TO4789,WO11982,124,6
TO4790,WO11983,90,7
TO4790,WO11984,270,2
TO4790,WO11985,140,8
TO4790,WO11986,51,2
TO4791,WO11987,40,6
TO4791,WO11988,240,1
TO4791,WO11989,216,6
TO4791,WO11990,261,1
TO4792,WO11991,206,9
TO4792,WO11992,207,10
TO4792,WO11993,320,5
TO4793,WO11994,324,8
TO4793,WO11995,225,9
TO4794,WO11996,216,7
TO4794,WO11997,208,2
TO4795,WO11998,315,2
TO4795,WO11999,48,4
TO4795,WO12000,72,1
TO4795,WO12001,179,5
TO4796,WO12002,69,10
TO4796,WO12003,296,9
TO4796,WO12004,241,4
TO4797,WO12005,278,3
TO4797,WO12006,245,2
TO4797,WO12007,221,4
TO4798,WO12008,191,9
TO4798,WO12009,172,5
TO4798,WO12010,45,2
TO4798,WO12011,178,10
TO4799,WO12012,193,9
TO4799,WO12013,209,10
TO4799,WO12014,147,6
TO4800,WO12015,32,9
TO4800,WO12016,279,8
TO4800,WO12017,164,7
TO4800,WO12018,166,1
TO4801,WO12019,290,4
TO4802,WO12020,190,8
TO4803,WO12021,124,1
TO4803,WO12022,85,3
TO4803,WO12023,173,10
TO4803,WO12024,174,6
TO4804,WO12025,290,3
TO4804,WO12026,226,10
TO4805,WO12027,176,5
TO4805,WO12028,181,5
TO4806,WO12029,313,5
TO4807,WO12030,234,5
TO4807,WO12031,308,1
TO4807,WO12032,124,8
TO4807,WO12033,92,1
TO4808,WO12034,235,7
TO4809,WO12035,36,7
TO4810,WO12036,319,8
TO4810,WO12037,265,4
TO4811,WO12038,341,6
TO4811,WO12039,196,7
TO4811,WO12040,224,9
TO4811,WO12041,71,4
TO4812,WO12042,306,9
TO4812,WO12043,240,9
TO4813,WO12044,204,6
TO4814,WO12045,268,4
TO4815,WO12046,201,5
TO4815,WO12047,234,5
TO4815,WO12048,323,6
TO4815,WO12049,150,5
TO4816,WO12050,330,4
TO4817,WO12051,113,4
TO4817,WO12052,255,10
TO4818,WO12053,216,1
TO4818,WO12054,106,7
TO4818,WO12055,156,1
TO4819,WO12056,105,6
TO4819,WO12057,270,7
TO4819,WO12058,276,1
TO4819,WO12059,123,5
TO4820,WO12060,70,5
TO4820,WO12061,138,9
TO4820,WO12062,140,8
TO4821,WO12063,168,10
TO4821,WO12064,312,8
TO4822,WO12065,230,4
TO4823,WO12066,142,1
TO4823,WO12067,134,6
TO4824,WO12068,280,5
TO4824,WO12069,313,2
TO4825,WO12070,325,10
TO4825,WO12071,176,3
TO4825,WO12072,104,2
TO4826,WO12073,147,1
TO4826,WO12074,139,2
TO4827,WO12075,282,4
TO4827,WO12076,73,4
TO4827,WO12077,68,9
TO4828,WO12078,48,10
TO4828,WO12079,102,9
TO4828,WO12080,147,3
TO4828,WO12081,149,8
TO4829,WO12082,191,8
TO4829,WO12083,74,10
TO4829,WO12084,298,5
TO4830,WO12085,252,10
TO4830,WO12086,250,2
TO4830,WO12087,205,7
TO4831,WO12088,354,7
TO4831,WO12089,281,5
TO4831,WO12090,296,8
TO4832,WO12091,83,2
TO4833,WO12092,138,1
TO4833,WO12093,232,2
TO4833,WO12094,226,2
TO4834,WO12095,121,5
TO4834,WO12096,348,4
TO4834,WO12097,106,6
TO4835,WO12098,101,8
TO4836,WO12099,74,2
TO4837,WO12100,285,8
TO4838,WO12101,81,6
TO4839,WO12102,288,2
TO4839,WO12103,198,5
TO4840,WO12104,247,7
TO4840,WO12105,220,5
TO4840,WO12106,342,1
TO4840,WO12107,296,10
TO4841,WO12108,334,5
TO4841,WO12109,319,7
TO4841,WO12110,230,1
TO4841,WO12111,158,1
TO4842,WO12112,285,4
TO4842,WO12113,304,10
TO4843,WO12114,233,7
TO4843,WO12115,278,6
TO4844,WO12116,145,9
TO4844,WO12117,54,2
TO4844,WO12118,196,4
TO4845,WO12119,303,3
TO4845,WO12120,324,7
TO4845,WO12121,354,7
TO4846,WO12122,166,10
TO4847,WO12123,74,8
TO4848,WO12124,244,6
TO4848,WO12125,292,3
TO4848,WO12126,352,4
TO4848,WO12127,191,8
TO4849,WO12128,67,3
TO4850,WO12129,194,7
TO4851,WO12130,53,6
TO4851,WO12131,333,2
TO4851,WO12132,195,9
TO4851,WO12133,228,7
TO4852,WO12134,65,9
TO4853,WO12135,60,7
TO4853,WO12136,284,10
TO4853,WO12137,303,4
TO4854,WO12138,211,6
TO4854,WO12139,311,9
TO4854,WO12140,195,7
TO4855,WO12141,236,6
TO4855,WO12142,48,8
TO4855,WO12143,304,8
TO4855,WO12144,237,5
TO4856,WO12145,91,7
TO4856,WO12146,159,6
TO4856,WO12147,232,9
TO4856,WO12148,93,3
TO4857,WO12149,60,6
TO4857,WO12150,163,5
TO4858,WO12151,70,10
TO4858,WO12152,310,5
TO4858,WO12153,280,5
TO4858,WO12154,255,7
TO4859,WO12155,186,7
TO4859,WO12156,89,6
TO4859,WO12157,32,9
TO4859,WO12158,318,4
TO4860,WO12159,263,5
TO4860,WO12160,183,1
TO4861,WO12161,57,9
TO4861,WO12162,299,9
TO4861,WO12163,333,9
TO4861,WO12164,327,5
TO4862,WO12165,344,2
TO4862,WO12166,121,3
TO4862,WO12167,244,8
TO4862,WO12168,248,2
TO4863,WO12169,189,8
TO4864,WO12170,125,2
TO4864,WO12171,324,3
TO4864,WO12172,202,3
TO4865,WO12173,167,3
TO4865,WO12174,195,5
TO4866,WO12175,109,9
TO4866,WO12176,171,3
TO4866,WO12177,84,2
TO4866,WO12178,322,1
TO4867,WO12179,62,5
TO4867,WO12180,352,1
TO4867,WO12181,84,6
TO4867,WO12182,227,6
TO4868,WO12183,230,10
TO4868,WO12184,237,5
TO4868,WO12185,42,9
TO4869,WO12186,339,1
TO4869,WO12187,107,9
TO4869,WO12188,290,9
TO4869,WO12189,152,7
TO4870,WO12190,59,3
TO4870,WO12191,326,2
TO4871,WO12192,100,9
TO4872,WO12193,305,6
TO4873,WO12194,66,10
TO4873,WO12195,63,7
TO4873,WO12196,67,1
TO4874,WO12197,338,1
TO4874,WO12198,51,3
TO4875,WO12199,110,1
TO4876,WO12200,176,8
TO4876,WO12201,278,4
TO4876,WO12202,83,10
TO4876,WO12203,230,2
TO4877,WO12204,235,2
TO4877,WO12205,148,1
TO4878,WO12206,315,6
TO4878,WO12207,144,9
TO4879,WO12208,183,9
TO4879,WO12209,34,6
TO4879,WO12210,121,1
TO4880,WO12211,298,5
TO4880,WO12212,262,6
TO4880,WO12213,326,9
TO4881,WO12214,234,10
TO4882,WO12215,62,8
TO4882,WO12216,70,5
TO4882,WO12217,184,7
TO4882,WO12218,87,10
TO4883,WO12219,232,10
TO4884,WO12220,88,6
TO4884,WO12221,223,1
TO4885,WO12222,291,9
TO4885,WO12223,165,4
TO4886,WO12224,169,4
TO4886,WO12225,258,10
TO4887,WO12226,304,9
TO4887,WO12227,116,5
TO4888,WO12228,212,3
TO4889,WO12229,238,10
TO4889,WO12230,211,9
TO4889,WO12231,75,10
TO4889,WO12232,278,4
TO4890,WO12233,292,6
TO4890,WO12234,114,5
TO4890,WO12235,165,2
TO4890,WO12236,287,3
TO4891,WO12237,276,6
TO4892,WO12238,186,1
TO4892,WO12239,305,5
TO4892,WO12240,301,1
TO4893,WO12241,322,2
TO4893,WO12242,94,9
TO4893,WO12243,213,1
TO4893,WO12244,190,10
TO4894,WO12245,279,2
TO4894,WO12246,282,2
TO4894,WO12247,66,2
TO4895,WO12248,89,4
TO4896,WO12249,159,8
TO4897,WO12250,220,7
TO4897,WO12251,328,2
TO4897,WO12252,251,8
TO4897,WO12253,195,1
TO4898,WO12254,107,10
TO4898,WO12255,48,9
TO4898,WO12256,54,8
TO4899,WO12257,84,2
TO4899,WO12258,332,6
TO4899,WO12259,336,3
TO4899,WO12260,179,8
TO4900,WO12261,230,4
TO4901,WO12262,245,9
TO4901,WO12263,352,10
TO4902,WO12264,278,4
TO4902,WO12265,180,1
TO4902,WO12266,37,10
TO4903,WO12267,233,9
TO4903,WO12268,44,3
TO4903,WO12269,314,7
TO4904,WO12270,145,4
TO4905,WO12271,54,10
TO4905,WO12272,235,1
TO4906,WO12273,58,10
TO4906,WO12274,121,5
TO4907,WO12275,160,10
TO4908,WO12276,231,10
TO4909,WO12277,95,5
TO4909,WO12278,164,2
TO4909,WO12279,163,1
TO4909,WO12280,356,8
TO4910,WO12281,128,1
TO4911,WO12282,188,8
TO4911,WO12283,221,1
TO4911,WO12284,233,5
TO4912,WO12285,141,6
TO4913,WO12286,104,9
TO4913,WO12287,191,8
TO4914,WO12288,87,7
TO4914,WO12289,98,9
TO4914,WO12290,134,9
TO4915,WO12291,322,8
TO4915,WO12292,341,4
TO4916,WO12293,125,3
TO4916,WO12294,68,3
TO4916,WO12295,249,3
TO4917,WO12296,310,9
TO4918,WO12297,214,3
TO4918,WO12298,114,6
TO4918,WO12299,167,2
TO4918,WO12300,110,6
TO4919,WO12301,234,7
TO4919,WO12302,138,3
TO4919,WO12303,299,9
TO4919,WO12304,169,6
TO4920,WO12305,267,2
TO4921,WO12306,115,7
TO4921,WO12307,146,3
TO4921,WO12308,337,8
TO4921,WO12309,116,3
TO4922,WO12310,274,6
TO4923,WO12311,79,6
TO4923,WO12312,182,7
TO4923,WO12313,277,1
TO4924,WO12314,207,5
TO4924,WO12315,255,7
TO4925,WO12316,111,2
TO4926,WO12317,329,10
TO4926,WO12318,192,7
TO4927,WO12319,220,4
TO4927,WO12320,43,7
TO4927,WO12321,332,10
TO4927,WO12322,96,10
TO4928,WO12323,242,8
TO4929,WO12324,84,7
TO4929,WO12325,84,3
TO4930,WO12326,83,6
TO4930,WO12327,291,2
TO4930,WO12328,347,9
TO4930,WO12329,38,5
TO4931,WO12330,333,1
TO4931,WO12331,157,8
TO4931,WO12332,135,1
TO4931,WO12333,240,6
TO4932,WO12334,295,9
TO4933,WO12335,40,2
TO4933,WO12336,61,1
TO4933,WO12337,336,2
TO4934,WO12338,217,1
TO4934,WO12339,270,1
TO4935,WO12340,66,1
TO4935,WO12341,288,3
TO4936,WO12342,33,7
TO4936,WO12343,253,1
TO4936,WO12344,55,6
TO4936,WO12345,128,6
TO4937,WO12346,46,2
TO4937,WO12347,265,9
TO4937,WO12348,185,3
TO4937,WO12349,229,7
TO4938,WO12350,134,2
TO4938,WO12351,223,3
TO4938,WO12352,230,2
TO4939,WO12353,351,3
TO4940,WO12354,176,6
TO4940,WO12355,219,9
TO4941,WO12356,285,6
TO4941,WO12357,106,8
TO4941,WO12358,359,10
TO4942,WO12359,131,5
TO4942,WO12360,31,5
TO4943,WO12361,359,1
TO4944,WO12362,69,6
TO4944,WO12363,152,6
TO4944,WO12364,62,7
TO4945,WO12365,96,7
TO4946,WO12366,163,10
TO4946,WO12367,91,1
TO4946,WO12368,72,2
TO4946,WO12369,199,1
TO4947,WO12370,68,1
TO4947,WO12371,141,5
TO4948,WO12372,217,8
TO4948,WO12373,161,7
TO4948,WO12374,339,5
TO4949,WO12375,128,3
TO4950,WO12376,48,4
TO4950,WO12377,177,5
TO4950,WO12378,173,1
