transferOrdNo,quantity,woNumber,franchise,product,uom
TO11102,87,WO27756,ab,PM9W3,kg
TO11103,87,WO27757,cd,1G6M8,ltr
TO11104,52,WO27758,ed,0F9N1,ltr
TO11104,11,WO27759,cd,H6UDX,pcs
TO11104,92,WO27760,ed,ATJXV,kg
TO11105,41,WO27761,cd,88VWH,kg
TO11105,30,WO27762,ed,WP32E,kg
TO11105,63,WO27763,bc,SIZZ6,ltr
TO11105,18,WO27764,bc,XJ8U1,ltr
TO11106,3,WO27765,cd,UGSZ2,ltr
TO11106,57,WO27766,ed,YGGRM,ltr
TO11106,75,WO27767,cd,GJLA6,kg
TO11107,31,WO27768,ed,0JAS1,pcs
TO11107,90,WO27769,ed,EFOAG,pcs
TO11107,56,WO27770,bc,QM4BI,pcs
TO11107,15,WO27771,ab,869H6,ltr
TO11108,85,WO27772,bc,SX2W0,kg
TO11108,40,WO27773,ed,WQZ8E,kg
TO11108,51,WO27774,cd,WX7K8,kg
TO11108,62,WO27775,ed,8L0D1,ltr
TO11109,27,WO27776,ab,EBWE9,kg
TO11110,54,WO27777,ed,5FWYQ,ltr
TO11110,27,WO27778,cd,A51V9,kg
TO11111,83,WO27779,bc,XZW2K,ltr
TO11112,51,WO27780,ed,C5C6B,pcs
TO11112,65,WO27781,cd,L5QVZ,ltr
TO11112,17,WO27782,bc,P6UOA,pcs
TO11112,1,WO27783,cd,X82SM,ltr
TO11113,55,WO27784,ab,I5TI3,kg
TO11113,80,WO27785,bc,WN4JT,pcs
TO11113,90,WO27786,ab,US1CM,kg
TO11113,54,WO27787,bc,0PEYK,pcs
TO11114,11,WO27788,ed,CEAVJ,kg
TO11114,82,WO27789,ed,4OSHU,ltr
TO11114,38,WO27790,ab,Z3GYB,ltr
TO11114,39,WO27791,cd,G0R89,ltr
TO11115,95,WO27792,cd,S1U5S,ltr
TO11115,93,WO27793,ed,ZB42R,kg
TO11115,94,WO27794,ab,HVML2,ltr
TO11116,19,WO27795,ed,ZXLHZ,ltr
TO11116,98,WO27796,ed,OJ9XO,pcs
TO11116,45,WO27797,ab,ELX9L,ltr
TO11116,20,WO27798,bc,DA1JE,kg
TO11117,96,WO27799,cd,YV5SN,pcs
TO11117,43,WO27800,cd,WTWTF,ltr
TO11117,94,WO27801,bc,188NG,kg
TO11117,15,WO27802,cd,BPGGT,pcs
TO11118,46,WO27803,ab,GHQS4,pcs
TO11118,22,WO27804,ed,HW8PQ,kg
TO11118,8,WO27805,bc,3E0LQ,pcs
TO11119,66,WO27806,cd,ATJXV,ltr
TO11119,14,WO27807,bc,5568X,ltr
TO11119,24,WO27808,bc,B3MED,kg
TO11119,35,WO27809,ab,KCH6W,pcs
TO11120,73,WO27810,ab,NTZ0W,ltr
TO11120,52,WO27811,ed,BKVHK,pcs
TO11120,56,WO27812,ab,MBD8Z,ltr
TO11120,80,WO27813,ed,UFJF2,kg
TO11121,93,WO27814,ed,ZU2OP,pcs
TO11121,85,WO27815,cd,XCKEQ,pcs
TO11122,61,WO27816,bc,DWWQ5,kg
TO11123,30,WO27817,cd,AR7EA,kg
TO11123,8,WO27818,cd,HAL3C,pcs
TO11123,94,WO27819,cd,RXVQJ,pcs
TO11123,36,WO27820,ed,9VDIU,ltr
TO11124,65,WO27821,bc,BI1OU,kg
TO11124,30,WO27822,ed,ATULS,ltr
TO11124,63,WO27823,cd,1GXNP,kg
TO11124,47,WO27824,ab,4DCKM,ltr
TO11125,86,WO27825,ed,H76CV,pcs
TO11125,80,WO27826,ab,DMGTC,kg
TO11125,20,WO27827,cd,NGKSA,ltr
TO11126,8,WO27828,cd,Q9YIH,pcs
TO11126,65,WO27829,ed,7HS6J,kg
TO11126,16,WO27830,cd,YU77U,pcs
TO11126,57,WO27831,bc,5J4VN,ltr
TO11127,73,WO27832,ed,4EYX1,kg
TO11127,16,WO27833,bc,W5AF0,ltr
TO11128,54,WO27834,bc,G3N9A,pcs
TO11128,93,WO27835,ab,O31WW,kg
TO11128,48,WO27836,bc,T8J57,kg
TO11128,95,WO27837,ab,08T7S,ltr
TO11129,16,WO27838,ed,THYVW,ltr
TO11129,78,WO27839,cd,EN5X5,ltr
TO11129,29,WO27840,cd,8L0D1,pcs
TO11130,99,WO27841,cd,109TR,kg
TO11131,56,WO27842,bc,SIZZ6,pcs
TO11132,38,WO27843,cd,LM6W3,ltr
TO11132,71,WO27844,bc,F5CBK,pcs
TO11132,32,WO27845,bc,GJLA6,pcs
TO11133,41,WO27846,bc,B4JWS,ltr
TO11134,71,WO27847,bc,XLMUC,pcs
TO11135,20,WO27848,ab,VJ3JM,pcs
TO11135,64,WO27849,ab,2N1IJ,pcs
TO11135,6,WO27850,bc,NIHLR,ltr
TO11135,86,WO27851,ed,PMZX8,kg
TO11136,61,WO27852,cd,J1B00,pcs
TO11137,34,WO27853,ed,WBIQB,pcs
TO11137,96,WO27854,ed,Z6Y7T,kg
TO11138,55,WO27855,ed,HMYQ6,ltr
TO11139,85,WO27856,ed,T4H3C,pcs
TO11139,2,WO27857,ed,XIMCU,ltr
TO11140,91,WO27858,cd,LIWGO,kg
TO11140,7,WO27859,ed,AF73F,ltr
TO11140,62,WO27860,ed,1B820,ltr
TO11140,33,WO27861,cd,CVYAS,ltr
TO11141,32,WO27862,cd,6PR07,ltr
TO11141,87,WO27863,bc,KQU9J,kg
TO11141,50,WO27864,bc,PJ006,pcs
TO11141,48,WO27865,ab,6U6ZG,ltr
TO11142,40,WO27866,bc,JXEQA,kg
TO11142,54,WO27867,ab,4CMCJ,kg
TO11142,33,WO27868,ed,CP1WR,pcs
TO11143,36,WO27869,bc,R0LKW,kg
TO11143,9,WO27870,cd,R7VOM,ltr
TO11144,41,WO27871,bc,EYXST,ltr
TO11144,87,WO27872,bc,4WW7F,ltr
TO11145,19,WO27873,cd,K10RP,pcs
TO11145,93,WO27874,cd,HO2T4,kg
TO11146,57,WO27875,ab,4T7UT,ltr
TO11146,26,WO27876,bc,9CNHA,pcs
TO11146,81,WO27877,ed,BDX3G,kg
TO11147,97,WO27878,bc,C5LMC,ltr
TO11147,15,WO27879,ab,QA9EI,ltr
TO11147,35,WO27880,cd,1G6M8,pcs
TO11147,55,WO27881,ed,GHQS4,kg
TO11148,6,WO27882,ed,XMM8A,ltr
TO11149,31,WO27883,ed,N9T65,pcs
TO11150,10,WO27884,ab,0MCRQ,pcs
TO11150,51,WO27885,ed,0HGAX,kg
TO11150,9,WO27886,ab,Z3O5K,ltr
TO11151,19,WO27887,ab,Q8DQ8,pcs
TO11151,69,WO27888,ab,RXVQJ,ltr
TO11151,54,WO27889,bc,CCYHS,ltr
TO11151,96,WO27890,ed,2MSDZ,ltr
TO11152,66,WO27891,ed,0VPRG,pcs
TO11152,87,WO27892,cd,2PB7N,ltr
TO11152,34,WO27893,ed,EJ8Q3,pcs
TO11152,18,WO27894,ed,BX0LL,pcs
TO11153,49,WO27895,bc,A0G76,pcs
TO11153,84,WO27896,ed,PJ006,pcs
TO11154,76,WO27897,bc,CEC2Z,pcs
TO11154,36,WO27898,ed,EN5X5,ltr
TO11154,86,WO27899,cd,JDOTT,ltr
TO11154,77,WO27900,cd,NDGLO,ltr
TO11155,16,WO27901,ed,NUXGX,kg
TO11155,2,WO27902,cd,0PEYK,ltr
TO11156,46,WO27903,cd,HF4AU,ltr
TO11156,39,WO27904,cd,RMTG8,kg
TO11157,52,WO27905,ab,89P97,pcs
TO11158,41,WO27906,bc,IQZUP,pcs
TO11158,61,WO27907,cd,0VWWL,kg
TO11158,72,WO27908,bc,LM6W3,ltr
TO11159,80,WO27909,cd,333I2,ltr
TO11159,13,WO27910,bc,JTURZ,ltr
TO11159,40,WO27911,ed,QVG4F,kg
TO11160,16,WO27912,cd,VEZMD,pcs
TO11160,76,WO27913,bc,AAK92,ltr
TO11160,96,WO27914,ab,PED0B,pcs
TO11161,20,WO27915,bc,67P36,kg
TO11161,80,WO27916,bc,3ULTV,kg
TO11161,3,WO27917,ab,TIP5L,ltr
TO11162,14,WO27918,bc,GH6D9,ltr
TO11162,100,WO27919,ab,NTLM0,kg
TO11162,35,WO27920,ed,SUVL9,pcs
TO11162,63,WO27921,ab,HUJRJ,ltr
TO11163,3,WO27922,bc,RA1TV,kg
TO11163,52,WO27923,bc,FKG6V,kg
TO11163,74,WO27924,ed,ZM9VB,kg
TO11164,15,WO27925,cd,WGPSX,kg
TO11164,54,WO27926,ab,WQZ8E,kg
TO11164,40,WO27927,cd,QMAJR,pcs
TO11164,42,WO27928,ed,WGPSX,pcs
TO11165,55,WO27929,bc,2JO8G,pcs
TO11165,37,WO27930,cd,KGH1K,kg
TO11165,14,WO27931,cd,1GP75,ltr
TO11165,74,WO27932,cd,2JO8G,ltr
TO11166,38,WO27933,ed,5PPRF,pcs
TO11166,20,WO27934,bc,BFECY,ltr
TO11166,33,WO27935,bc,6V4QH,ltr
TO11167,15,WO27936,bc,MT9V8,ltr
TO11167,35,WO27937,ed,C5JBZ,kg
TO11167,8,WO27938,ed,VHBOS,kg
TO11167,94,WO27939,bc,676BZ,pcs
TO11168,14,WO27940,ed,07DHI,kg
TO11168,69,WO27941,cd,3C7OG,ltr
TO11168,42,WO27942,ed,YHKLU,kg
TO11168,8,WO27943,ab,0M8AQ,kg
TO11169,23,WO27944,ab,39TOG,kg
TO11169,68,WO27945,bc,QP0US,pcs
TO11169,71,WO27946,ed,4T7UT,pcs
TO11170,65,WO27947,bc,71EJI,pcs
TO11170,47,WO27948,cd,ZXLHZ,ltr
TO11170,28,WO27949,bc,VHBOS,pcs
TO11171,69,WO27950,bc,4EYX1,kg
TO11171,56,WO27951,ed,5YG3Q,pcs
TO11171,48,WO27952,ed,2Y581,pcs
TO11172,55,WO27953,bc,ADYLG,ltr
TO11172,67,WO27954,ab,ZB42R,pcs
TO11172,27,WO27955,ed,ELYAD,ltr
TO11173,23,WO27956,bc,Q9YIH,kg
TO11173,30,WO27957,bc,NGKSA,kg
TO11173,27,WO27958,ed,AT10M,kg
TO11174,75,WO27959,bc,38XS1,kg
TO11175,60,WO27960,ab,ZM4EE,kg
TO11176,22,WO27961,ab,S0AP0,kg
TO11176,78,WO27962,ed,O18LK,kg
TO11176,20,WO27963,ab,UILCE,ltr
TO11177,95,WO27964,cd,ZW1X7,pcs
TO11177,29,WO27965,ed,DSKIB,pcs
TO11177,69,WO27966,ab,JBQG0,ltr
TO11178,35,WO27967,ab,BA0K4,kg
TO11178,62,WO27968,bc,IHTRB,ltr
TO11178,80,WO27969,ed,4DCKM,pcs
TO11179,96,WO27970,ab,ZB42R,ltr
TO11179,32,WO27971,ab,XZW3K,pcs
TO11179,54,WO27972,bc,PJMTZ,kg
TO11180,13,WO27973,bc,78K68,pcs
TO11180,27,WO27974,cd,QS639,ltr
TO11180,15,WO27975,ed,HVUPO,pcs
TO11180,69,WO27976,bc,DD4KH,pcs
TO11181,54,WO27977,cd,A1HYG,kg
TO11181,2,WO27978,bc,1MOT0,kg
TO11181,96,WO27979,bc,GY6RA,kg
TO11181,44,WO27980,bc,UVX8U,kg
TO11182,71,WO27981,ab,HNZ5R,kg
TO11182,67,WO27982,bc,BM4DN,ltr
TO11182,23,WO27983,ed,4HW8W,ltr
TO11182,97,WO27984,ab,DD4KH,pcs
TO11183,28,WO27985,ab,L5QVZ,ltr
TO11183,79,WO27986,bc,US1CM,pcs
TO11183,57,WO27987,bc,JXEQA,pcs
TO11183,59,WO27988,ab,UBBQE,kg
TO11184,69,WO27989,ab,869H6,ltr
TO11184,80,WO27990,bc,IGJTF,kg
TO11184,7,WO27991,bc,SRJJQ,kg
TO11184,21,WO27992,cd,LXKSD,pcs
TO11185,30,WO27993,ed,PED0B,kg
TO11185,98,WO27994,ab,3N4RH,ltr
TO11186,29,WO27995,ab,E3PJW,ltr
TO11186,67,WO27996,cd,B2VJR,ltr
TO11186,73,WO27997,ed,FOH36,pcs
TO11186,47,WO27998,ab,K445Z,pcs
TO11187,90,WO27999,bc,7NR2H,pcs
TO11188,90,WO28000,ed,AJL9M,kg
TO11188,49,WO28001,ed,EJK9F,pcs
TO11189,26,WO28002,cd,YISYD,ltr
TO11189,45,WO28003,cd,8UFGG,ltr
TO11189,17,WO28004,ed,0SV5N,pcs
TO11189,22,WO28005,cd,S8OXN,kg
TO11190,2,WO28006,bc,T8J57,kg
TO11190,90,WO28007,bc,ET9TU,ltr
TO11191,13,WO28008,ab,R8I7O,kg
TO11191,32,WO28009,bc,8ZS5Q,pcs
TO11191,21,WO28010,cd,O0G1D,ltr
TO11191,9,WO28011,bc,ZSG4E,ltr
TO11192,70,WO28012,bc,UTZIC,ltr
TO11192,42,WO28013,cd,GJM36,ltr
TO11192,13,WO28014,bc,C8T4V,pcs
TO11192,30,WO28015,bc,GH6D9,pcs
TO11193,99,WO28016,cd,TAFXW,kg
TO11193,74,WO28017,ab,6CD65,ltr
TO11193,10,WO28018,cd,O2Y80,pcs
TO11193,31,WO28019,bc,5F8Q9,pcs
TO11194,36,WO28020,bc,5EXOS,kg
TO11194,77,WO28021,ed,H2201,kg
TO11194,51,WO28022,bc,JVVE1,kg
TO11194,90,WO28023,cd,S8OXN,pcs
TO11195,48,WO28024,cd,5EZDO,pcs
TO11195,32,WO28025,ed,ZU2OP,pcs
TO11195,34,WO28026,cd,1GP75,kg
TO11196,64,WO28027,bc,MT9V8,kg
TO11196,4,WO28028,ab,4D5XA,pcs
TO11196,4,WO28029,cd,1CWB2,pcs
TO11197,59,WO28030,ab,WSOI0,ltr
TO11197,100,WO28031,ab,N4PFA,pcs
TO11197,40,WO28032,ed,YUQC1,ltr
TO11197,37,WO28033,bc,2IOU2,pcs
TO11198,22,WO28034,bc,R3KIT,kg
TO11198,76,WO28035,ed,SU2VM,pcs
TO11199,93,WO28036,ab,350GZ,ltr
TO11199,6,WO28037,ab,IS6QT,kg
TO11199,36,WO28038,bc,W5PBI,ltr
TO11200,46,WO28039,cd,3MA4I,pcs
TO11200,78,WO28040,ab,P6UOA,ltr
TO11200,8,WO28041,ab,KCGGQ,pcs
TO11201,7,WO28042,ab,GJLA6,pcs
TO11202,82,WO28043,cd,C8T4V,ltr
TO11202,58,WO28044,ed,N31ZG,kg
TO11203,72,WO28045,bc,3E0LQ,kg
TO11203,30,WO28046,cd,SCMCM,pcs
TO11203,53,WO28047,cd,DXU9G,pcs
TO11204,23,WO28048,cd,51JNP,kg
TO11204,87,WO28049,bc,M5UX3,kg
TO11205,39,WO28050,ed,DXU9G,kg
TO11205,57,WO28051,ab,WX7K8,pcs
TO11205,80,WO28052,ed,0OZTC,pcs
TO11206,41,WO28053,bc,DRKZ0,pcs
TO11206,81,WO28054,cd,Z9E14,pcs
TO11207,7,WO28055,ab,P60FJ,ltr
TO11207,11,WO28056,ed,XI353,ltr
TO11207,42,WO28057,ed,MAYFN,kg
TO11207,20,WO28058,ed,UFJF2,kg
TO11208,98,WO28059,ed,BM4DN,pcs
TO11208,61,WO28060,bc,E7ZIY,kg
TO11208,94,WO28061,ab,FNR70,pcs
TO11209,30,WO28062,ed,SRJJQ,ltr
TO11209,17,WO28063,ed,C5C6B,kg
TO11209,8,WO28064,bc,PF7X6,kg
TO11210,45,WO28065,ed,0DLHC,pcs
TO11210,27,WO28066,cd,OOMCA,ltr
TO11211,93,WO28067,ed,BX6RB,ltr
TO11211,36,WO28068,ed,FCOVW,ltr
TO11212,34,WO28069,cd,IG37Z,kg
TO11212,23,WO28070,bc,S0QN8,kg
TO11212,43,WO28071,ed,O18LK,ltr
TO11213,77,WO28072,ab,QMAJR,pcs
TO11213,77,WO28073,bc,NTZ0W,pcs
TO11213,25,WO28074,bc,TBF26,ltr
TO11213,76,WO28075,ab,DNQZO,kg
TO11214,71,WO28076,cd,XVDZT,pcs
TO11215,33,WO28077,bc,Z9RF2,ltr
TO11215,46,WO28078,cd,LCSXJ,ltr
TO11215,30,WO28079,ab,445LT,pcs
TO11215,35,WO28080,ed,TBLFX,pcs
TO11216,84,WO28081,ed,I5TI3,ltr
TO11217,1,WO28082,cd,TBF26,pcs
TO11218,22,WO28083,ab,E7TS0,kg
TO11218,61,WO28084,ed,C0LEF,kg
TO11218,73,WO28085,ed,PM9W3,pcs
TO11219,79,WO28086,ab,ZXW3M,ltr
TO11220,18,WO28087,bc,HJ2T1,pcs
TO11221,51,WO28088,cd,YU77U,ltr
TO11222,45,WO28089,bc,8H8NY,kg
TO11222,65,WO28090,cd,K445Z,pcs
TO11222,78,WO28091,ed,DMGTC,pcs
TO11223,61,WO28092,ed,BMQ61,ltr
TO11224,8,WO28093,cd,38XS1,ltr
TO11224,10,WO28094,bc,QA9EI,ltr
TO11224,5,WO28095,bc,GTGFN,ltr
TO11224,79,WO28096,bc,BZBBO,kg
TO11225,57,WO28097,ab,V7MHY,pcs
TO11225,82,WO28098,ed,AF5I3,pcs
TO11225,2,WO28099,ab,QFE77,ltr
TO11225,88,WO28100,cd,UEXKT,pcs
TO11226,13,WO28101,cd,FCOVW,ltr
TO11226,32,WO28102,ab,RRV7S,pcs
TO11226,92,WO28103,ab,B4JWS,kg
TO11226,16,WO28104,ab,QMAJR,kg
TO11227,95,WO28105,ab,SF8S8,ltr
TO11228,48,WO28106,ab,9KMI2,pcs
TO11229,6,WO28107,ed,KJZQP,ltr
TO11229,93,WO28108,cd,GQ8CB,pcs
TO11229,49,WO28109,cd,IAIDU,kg
TO11230,91,WO28110,ed,IS6QT,ltr
TO11230,25,WO28111,ed,DCR8J,ltr
TO11230,77,WO28112,ab,XRE2R,kg
TO11230,15,WO28113,bc,DDORO,pcs
TO11231,90,WO28114,cd,MMI12,pcs
TO11231,30,WO28115,ab,THYVW,ltr
TO11231,96,WO28116,ab,BA0K4,ltr
TO11231,5,WO28117,cd,3IXCE,pcs
TO11232,36,WO28118,cd,LRKAB,kg
TO11232,44,WO28119,ed,YV5SN,kg
TO11232,57,WO28120,bc,U26VP,ltr
TO11233,16,WO28121,bc,MBD8Z,ltr
TO11233,15,WO28122,ed,R7643,ltr
TO11233,43,WO28123,ed,OXGYS,pcs
TO11233,78,WO28124,ab,A51V9,kg
TO11234,95,WO28125,ab,9VDIU,ltr
TO11234,76,WO28126,ed,M62SF,kg
TO11235,29,WO28127,ab,OVKRZ,pcs
TO11235,27,WO28128,ab,2JLET,ltr
TO11235,86,WO28129,ed,0U1BU,ltr
TO11236,56,WO28130,cd,3IXCE,kg
TO11236,57,WO28131,ed,A51V9,pcs
TO11237,35,WO28132,ab,29NNK,pcs
TO11237,96,WO28133,ab,C5C6B,kg
TO11237,57,WO28134,bc,X82SM,ltr
TO11237,34,WO28135,ed,R0LKW,pcs
TO11238,8,WO28136,bc,PAGJ5,kg
TO11238,46,WO28137,ab,3HNI6,pcs
TO11238,10,WO28138,ab,GJM36,kg
TO11239,49,WO28139,ed,ZSG4E,ltr
TO11239,44,WO28140,bc,5XHAK,kg
TO11239,10,WO28141,cd,J29NQ,ltr
TO11240,82,WO28142,ab,KQ04U,pcs
TO11240,76,WO28143,ed,GL6ZT,kg
TO11240,16,WO28144,bc,X82SM,ltr
TO11241,99,WO28145,ed,CE3V8,pcs
TO11241,52,WO28146,cd,8NGNY,ltr
TO11242,91,WO28147,ed,3SZ0Z,pcs
TO11243,85,WO28148,ab,SUVL9,ltr
TO11243,85,WO28149,cd,D0IBL,kg
TO11243,58,WO28150,cd,Z9RF2,kg
TO11244,68,WO28151,bc,RGJAL,kg
TO11244,83,WO28152,ab,2MSDZ,ltr
TO11245,57,WO28153,ed,4T7UT,kg
TO11245,83,WO28154,ab,86469,kg
TO11245,8,WO28155,ed,KQU9J,kg
TO11246,1,WO28156,cd,46UKQ,pcs
TO11246,88,WO28157,bc,K445Z,ltr
TO11246,5,WO28158,cd,F4O0L,pcs
TO11247,34,WO28159,bc,676BZ,ltr
TO11247,2,WO28160,bc,JLD49,ltr
TO11248,12,WO28161,cd,CEC2Z,pcs
TO11248,95,WO28162,ab,Q51U7,kg
TO11248,16,WO28163,ab,F91T0,kg
TO11248,54,WO28164,cd,QV69D,ltr
TO11249,8,WO28165,bc,PFE08,ltr
TO11249,39,WO28166,cd,2H0LZ,pcs
TO11249,92,WO28167,ed,QEESP,kg
TO11250,8,WO28168,cd,Z9RF2,ltr
TO11250,66,WO28169,ab,QO1VX,pcs
TO11251,18,WO28170,ed,YH6KO,pcs
TO11251,24,WO28171,ed,TEAGQ,ltr
TO11251,93,WO28172,bc,QV8KL,kg
TO11251,48,WO28173,cd,3XEL4,kg
TO11252,76,WO28174,ed,0QNUV,pcs
TO11253,61,WO28175,cd,56XO5,kg
TO11253,97,WO28176,cd,H748B,ltr
TO11254,34,WO28177,bc,EH23N,ltr
TO11254,55,WO28178,ab,4T7UT,kg
TO11254,58,WO28179,ed,QV69D,ltr
TO11254,92,WO28180,ed,109TR,ltr
TO11255,41,WO28181,ab,AQF03,ltr
TO11256,63,WO28182,bc,UGDN1,kg
TO11256,15,WO28183,bc,AT10M,kg
TO11257,82,WO28184,ed,WEFZ6,ltr
TO11257,19,WO28185,cd,I52QC,ltr
TO11257,73,WO28186,ab,DXU9G,kg
TO11257,80,WO28187,ed,T7A31,ltr
TO11258,39,WO28188,bc,MYKHV,kg
TO11259,79,WO28189,bc,94E0W,pcs
TO11259,95,WO28190,bc,UBBQE,ltr
TO11260,5,WO28191,ab,ZWJW1,kg
TO11260,8,WO28192,ab,3F79R,pcs
TO11260,30,WO28193,cd,LXKSD,pcs
TO11260,84,WO28194,bc,1W8N5,kg
TO11261,38,WO28195,cd,JXEQA,kg
TO11262,35,WO28196,cd,1S6IY,kg
TO11262,27,WO28197,ab,JYK4E,ltr
TO11262,32,WO28198,bc,XHQUD,ltr
TO11263,57,WO28199,ed,3BUWM,kg
TO11263,93,WO28200,ab,YHKLU,ltr
TO11264,8,WO28201,ed,3F79R,kg
TO11264,70,WO28202,ed,IAJML,pcs
TO11264,52,WO28203,bc,L1UXV,ltr
TO11265,93,WO28204,cd,6U6ZG,ltr
TO11265,86,WO28205,cd,I7ZDE,ltr
TO11266,11,WO28206,bc,PAECQ,kg
TO11266,13,WO28207,ab,3V7UV,kg
TO11266,27,WO28208,ab,WX7K8,ltr
TO11267,82,WO28209,cd,WGPSX,kg
TO11267,85,WO28210,bc,XHT8Y,kg
TO11268,26,WO28211,bc,B9JT8,kg
TO11268,37,WO28212,bc,J6B3O,kg
TO11268,61,WO28213,cd,4T7UT,kg
TO11268,8,WO28214,ab,MIJD4,pcs
TO11269,4,WO28215,ed,FRG1L,kg
TO11269,4,WO28216,ed,ITILP,ltr
TO11270,69,WO28217,ab,UW3UB,kg
TO11271,98,WO28218,ab,Q0U26,ltr
TO11271,47,WO28219,ed,I8LV6,pcs
TO11271,70,WO28220,bc,JBW97,kg
TO11272,96,WO28221,ed,MMI8B,kg
TO11272,46,WO28222,cd,Z9RF2,pcs
TO11272,64,WO28223,ed,NDGLO,ltr
TO11272,2,WO28224,ab,50JKS,ltr
TO11273,11,WO28225,cd,Q27DX,kg
TO11274,68,WO28226,cd,5EXOS,pcs
TO11274,69,WO28227,ab,0MLXM,ltr
TO11275,77,WO28228,ed,PMZX8,kg
TO11275,47,WO28229,bc,1S6IY,pcs
TO11276,42,WO28230,ab,CMY0Z,ltr
TO11277,94,WO28231,ed,WVALS,kg
TO11277,60,WO28232,ab,WBIQB,ltr
TO11277,16,WO28233,ab,ELYAD,kg
TO11277,80,WO28234,bc,HE3L9,pcs
TO11278,2,WO28235,bc,E5ZY8,kg
TO11278,36,WO28236,cd,IGJTF,pcs
TO11278,20,WO28237,ed,3E0LQ,pcs
TO11278,89,WO28238,ed,RNHXY,pcs
TO11279,2,WO28239,cd,V175K,kg
TO11279,41,WO28240,ab,1CQSX,ltr
TO11280,43,WO28241,cd,IWJP5,kg
TO11280,33,WO28242,ab,1ZP5K,kg
TO11280,18,WO28243,bc,PED0B,kg
TO11281,17,WO28244,ab,6NEHQ,pcs
TO11281,84,WO28245,ab,1TRDY,ltr
TO11281,90,WO28246,ab,4D5XA,ltr
TO11282,31,WO28247,bc,BY2EW,ltr
TO11282,100,WO28248,bc,9BP9V,pcs
TO11282,77,WO28249,ab,3C9PR,pcs
TO11283,63,WO28250,ed,1S6IY,pcs
TO11284,31,WO28251,bc,6JBQR,pcs
TO11284,8,WO28252,ab,Q9YIH,ltr
TO11285,57,WO28253,cd,ZM9VB,ltr
TO11285,94,WO28254,bc,UP27W,ltr
TO11285,38,WO28255,cd,VCJA5,ltr
TO11285,26,WO28256,ab,WHWYQ,pcs
TO11286,98,WO28257,ed,UVX8U,kg
TO11286,48,WO28258,ed,67RX2,kg
TO11286,56,WO28259,ed,2MSDZ,pcs
TO11287,69,WO28260,ab,KXH1X,ltr
TO11287,50,WO28261,ab,6NEHQ,kg
TO11287,61,WO28262,ab,0VPRG,pcs
TO11288,71,WO28263,cd,RQG2V,pcs
TO11289,55,WO28264,ab,0OZTC,kg
TO11289,30,WO28265,ab,WN4JT,ltr
TO11289,48,WO28266,bc,WGPSX,kg
TO11290,52,WO28267,cd,WSOI0,ltr
TO11290,40,WO28268,ab,UHOWA,kg
TO11290,70,WO28269,cd,4DCKM,ltr
TO11290,23,WO28270,cd,VOV3A,pcs
TO11291,33,WO28271,cd,IAJML,ltr
TO11291,22,WO28272,ab,W5AF0,kg
TO11292,76,WO28273,ed,UJ8J9,pcs
TO11293,57,WO28274,cd,T74UN,kg
TO11293,3,WO28275,ab,IBRKZ,pcs
TO11294,73,WO28276,bc,12BNR,ltr
TO11294,57,WO28277,bc,35UD3,pcs
TO11294,45,WO28278,cd,N31ZG,kg
TO11295,62,WO28279,bc,ZM9VB,ltr
TO11295,24,WO28280,ab,188NG,kg
TO11295,60,WO28281,ed,6P26M,kg
TO11295,38,WO28282,ab,DUABW,kg
TO11296,51,WO28283,ab,08BYL,pcs
TO11296,88,WO28284,ab,6LM8T,pcs
TO11297,84,WO28285,ab,I5TI3,pcs
TO11297,24,WO28286,ed,VZ124,ltr
TO11297,49,WO28287,ab,UVH3J,ltr
TO11297,31,WO28288,cd,SZNCY,ltr
TO11298,98,WO28289,cd,MYKHV,kg
TO11299,32,WO28290,ab,5PPRF,ltr
TO11299,26,WO28291,ab,EN5X5,kg
TO11300,43,WO28292,bc,C0LEF,kg
TO11300,24,WO28293,bc,6LM8T,pcs
TO11301,31,WO28294,cd,35UD3,ltr
TO11301,100,WO28295,bc,DXU9G,kg
TO11301,58,WO28296,cd,XIMCU,pcs
TO11301,12,WO28297,bc,JGSFE,kg
TO11302,18,WO28298,bc,0M8AQ,kg
TO11303,15,WO28299,cd,F7ZE0,pcs
TO11303,5,WO28300,bc,OFJ27,ltr
TO11303,29,WO28301,cd,H748B,ltr
TO11303,73,WO28302,ab,6NEHQ,ltr
TO11304,47,WO28303,ab,3F79R,kg
TO11305,54,WO28304,cd,UQBOC,ltr
TO11305,78,WO28305,cd,HVSCN,kg
TO11305,11,WO28306,ab,BX0LL,pcs
TO11306,20,WO28307,cd,JS86N,ltr
TO11306,78,WO28308,ab,SF8S8,pcs
TO11307,39,WO28309,ab,UQBOC,kg
TO11307,28,WO28310,ed,PS9PE,kg
TO11307,81,WO28311,bc,NDGLO,pcs
TO11307,36,WO28312,bc,UJ8J9,pcs
TO11308,52,WO28313,ab,6NEHQ,ltr
TO11309,43,WO28314,ed,BHD9D,pcs
TO11309,52,WO28315,bc,ED5EK,pcs
TO11309,20,WO28316,ed,LW533,ltr
TO11309,44,WO28317,cd,X99UZ,ltr
TO11310,60,WO28318,cd,AZSLU,kg
TO11311,44,WO28319,cd,0DLHC,pcs
TO11311,40,WO28320,cd,240D1,kg
TO11312,47,WO28321,ed,TOWLH,kg
TO11312,88,WO28322,ed,P6XUO,ltr
TO11313,71,WO28323,bc,R6HEM,kg
